galaxy_id,morph_type,Q,incl_deg,dist_Mpc,R_disc_kpc,R_last_kpc,R_out_kpc,N_outer,mean_Sigma_bar_outer,stratum,epsilon_umm,epsilon_baryon,epsilon_nfw,A_global,Upsilon_star,gas_source,notes
NGC5055,Sbc,1,55.0,9.9,3.2,54.59,38.429,6,1.4766556769657713,low,0.02782357603593681,0.3911260576439284,0.006431198244965461,1.2589254117942537e-11,0.7,SPARC_HI,M200_NFW=5.623e+11;coverage=17.06
NGC5371,Sbc,1,53.0,39.7,7.44,46.24,32.803,5,2.1600760623000177,low,0.08571649451972688,0.16148299783618514,0.05235272290447544,1.2589254117942537e-11,0.7,SPARC_HI,M200_NFW=2.512e+11;coverage=6.22
NGC5585,Sd,1,51.0,7.06,1.53,10.96,7.699,5,4.0189283199819625,intermediate,0.034059149341561665,0.5021567188306897,0.018374388472893133,1.2589254117942537e-11,0.7,SPARC_HI,M200_NFW=1.122e+11;coverage=7.16
NGC5907,Sc,1,88.0,17.3,5.34,50.33,36.739999999999995,6,3.4365964251574788,intermediate,0.02055609263773688,0.39418745025078444,0.02463770597374013,1.2589254117942537e-11,0.7,SPARC_HI,M200_NFW=1.000e+12;coverage=9.43
NGC5985,Sb,1,60.0,39.7,7.01,34.72,25.365999999999996,4,9.265382347468,high,0.18820874430747433,0.4228766162650147,0.01892705574376014,1.2589254117942537e-11,0.7,SPARC_HI,M200_NFW=5.012e+12;coverage=4.95
NGC6195,Sb,1,62.0,127.8,13.94,36.43,25.9,4,12.188555144726145,high,0.09930779462458758,0.16810623742397343,0.020816051658451754,1.2589254117942537e-11,0.7,SPARC_HI,M200_NFW=6.310e+11;coverage=2.61
NGC6503,Scd,1,74.0,6.26,2.16,23.5,16.677999999999997,9,1.321978124180575,low,0.07022712441998027,0.5529275910337703,0.011814882234003577,1.2589254117942537e-11,0.7,SPARC_HI,M200_NFW=2.239e+11;coverage=10.88
NGC6674,Sb,1,54.0,51.2,6.04,72.41,51.437,5,1.467118151590784,low,0.1587678479671626,0.5214889777742978,0.015989745517638723,1.2589254117942537e-11,0.7,SPARC_HI,M200_NFW=2.195e+12;coverage=11.99
NGC6946,Scd,1,38.0,5.52,2.44,20.4,14.336999999999996,17,4.007103899978559,intermediate,0.026820213995827263,0.2545438679724227,0.014120086515878772,1.2589254117942537e-11,0.7,SPARC_HI,M200_NFW=2.512e+11;coverage=8.36
NGC7331,Sb,1,75.0,14.7,5.02,36.31,26.217999999999996,10,4.531191539661795,intermediate,0.05806098774581975,0.28692736184910445,0.02215039472215378,1.2589254117942537e-11,0.7,SPARC_HI,M200_NFW=1.000e+12;coverage=7.23
NGC7793,Sd,1,47.0,3.61,1.21,7.87,5.542,5,8.004673606762358,high,0.04560904457461838,0.30866785856555917,0.04731251105222893,1.2589254117942537e-11,0.7,SPARC_HI,M200_NFW=7.787e+10;coverage=6.50
NGC7814,Sab,1,90.0,14.4,2.54,19.53,13.860000000000001,6,1.7784174397315338,low,0.2962918922654185,0.4341243839030642,0.00474510504509757,1.2589254117942537e-11,0.7,SPARC_HI,M200_NFW=2.512e+12;coverage=7.69
UGC00128,Sdm,1,57.0,64.5,5.95,53.75,38.0,7,1.2529569456232905,low,0.13567535926099977,0.6250065099572453,0.022261410222640304,1.2589254117942537e-11,0.7,SPARC_HI,M200_NFW=3.548e+11;coverage=9.03
