galaxy_id,morph_type,Q,incl_deg,dist_Mpc,R_disc_kpc,R_last_kpc,R_out_kpc,N_outer,mean_Sigma_bar_outer,stratum,epsilon_umm,epsilon_baryon,epsilon_nfw,A_global,Upsilon_star,gas_source,notes
UGC06614,Sa,1,36.0,88.7,5.1,64.59,46.182,2,2.2296210569803114,low,0.05108840365405269,0.5249391145103441,0.0030322715364809,1.4125375446228536e-11,0.5,SPARC_HI,M200_NFW=1.259e+12;coverage=12.66
UGC06786,S0,1,64.0,29.3,3.6,34.05,23.883,5,1.2828774908933214,low,0.32844757633678856,0.6112567308245411,0.025219139595649993,1.4125375446228536e-11,0.5,SPARC_HI,M200_NFW=2.512e+12;coverage=9.46
UGC06917,Sm,1,56.0,18.0,2.76,10.47,7.851,3,6.567508770933053,high,0.012892851922728411,0.500380896273733,0.008451941574593119,1.4125375446228536e-11,0.5,SPARC_HI,M200_NFW=2.239e+11;coverage=3.79
UGC06930,Sd,1,32.0,18.0,3.94,16.61,12.149,4,4.747044497592294,high,0.13161516193368264,0.46748652657387957,0.00552586739155496,1.4125375446228536e-11,0.5,SPARC_HI,M200_NFW=1.585e+11;coverage=4.22
UGC06983,Scd,1,49.0,18.0,3.21,15.68,11.498,5,4.399439677133422,intermediate,0.07320661096861052,0.5312440050511298,0.00930678736934181,1.4125375446228536e-11,0.5,SPARC_HI,M200_NFW=1.796e+11;coverage=4.88
UGC07125,Sm,1,90.0,19.8,3.38,18.68,13.507999999999997,4,3.187350418937708,intermediate,0.759878665324714,0.34676801318221906,0.0173212247643181,1.4125375446228536e-11,0.5,SPARC_HI,M200_NFW=1.995e+10;coverage=5.53
UGC07151,Scd,1,90.0,6.87,1.25,5.5,4.0,4,9.864801745721927,high,0.13106533895140793,0.4230914174857612,0.004009484147103919,1.4125375446228536e-11,0.5,SPARC_HI,M200_NFW=5.623e+10;coverage=4.40
UGC07323,Sdm,1,47.0,8.0,2.26,5.82,4.247999999999999,3,12.49238810695799,high,0.13562687313325306,0.3826713416133171,0.010557911796204066,1.4125375446228536e-11,0.5,SPARC_HI,M200_NFW=7.149e+10;coverage=2.58
UGC07399,Sdm,1,55.0,8.43,1.64,6.13,4.473999999999999,3,5.034533833288061,high,0.2674434757456116,0.6752544009342488,0.006658158224171981,1.4125375446228536e-11,0.5,SPARC_HI,M200_NFW=6.310e+11;coverage=3.74
UGC07524,Sm,1,46.0,4.74,3.46,10.69,7.587999999999999,9,5.297740180737166,high,0.22602404653016872,0.4818381864418394,0.011353294431807798,1.4125375446228536e-11,0.5,SPARC_HI,M200_NFW=6.310e+10;coverage=3.09
UGC07603,Sd,1,78.0,4.7,0.53,4.11,2.979,4,2.9585171651759783,intermediate,0.13328299889293455,0.631428498356059,0.011733098621858581,1.4125375446228536e-11,0.5,SPARC_HI,M200_NFW=7.079e+10;coverage=7.75
UGC08286,Scd,1,90.0,6.5,1.05,8.04,5.768999999999999,5,3.2921760640709627,intermediate,0.07165827489122933,0.6126180813440957,0.014902747688500168,1.4125375446228536e-11,0.5,SPARC_HI,M200_NFW=1.259e+11;coverage=7.66
UGC08490,Sm,1,50.0,4.65,0.67,10.15,7.207,9,2.2621546618421675,low,0.024249891986102546,0.6413629957288822,0.018409163315663613,1.4125375446228536e-11,0.5,SPARC_HI,M200_NFW=7.943e+10;coverage=15.15
UGC08550,Sd,1,90.0,6.7,0.45,5.36,3.899,3,3.2083395843892872,intermediate,0.09143333424453877,0.5889892855342956,0.01797987520900298,1.4125375446228536e-11,0.5,SPARC_HI,M200_NFW=2.846e+10;coverage=11.91
UGC09133,Sab,1,53.0,57.1,6.97,108.31,75.913,9,1.2093620838042034,low,0.020561347728493377,0.5426312274602958,0.011907288998004294,1.4125375446228536e-11,0.5,SPARC_HI,M200_NFW=1.778e+12;coverage=15.54
UGC11455,Scd,1,90.0,78.6,5.93,41.93,29.537,6,3.092025847254781,intermediate,0.14982191101032502,0.37941932480190116,0.02076728591406729,1.4125375446228536e-11,0.5,SPARC_HI,M200_NFW=2.512e+12;coverage=7.07
UGC11820,Sm,1,45.0,18.1,2.08,15.82,11.152,2,3.2452319259057334,intermediate,0.29250331075380454,0.5456081811430338,0.018443581641437477,1.4125375446228536e-11,0.5,SPARC_HI,M200_NFW=7.079e+10;coverage=7.61
UGC11914,Sab,1,31.0,16.9,2.44,9.83,6.965000000000001,3,48.57233532076774,high,0.1825263788383106,0.31229760891256336,0.020335575950793026,1.4125375446228536e-11,0.5,SPARC_HI,M200_NFW=4.511e+13;coverage=4.03
UGC12632,Sm,1,46.0,9.77,2.42,10.66,7.674999999999999,5,3.7947139539998687,intermediate,0.24366460390508987,0.5137425887129714,0.006424423915633986,1.4125375446228536e-11,0.5,SPARC_HI,M200_NFW=4.467e+10;coverage=4.40
UGC12732,Sm,1,39.0,13.2,1.98,15.4,11.068000000000001,5,3.9932021111764806,intermediate,0.1906009704623636,0.5441349970122391,0.028100498748247892,1.4125375446228536e-11,0.5,SPARC_HI,M200_NFW=1.100e+11;coverage=7.78
UGCA442,Sm,1,64.0,4.35,1.18,6.33,4.5569999999999995,3,2.649453614579501,low,0.09067678901378608,0.6366447279230546,0.010079960751128398,1.4125375446228536e-11,0.5,SPARC_HI,M200_NFW=2.818e+10;coverage=5.36
